0001, Nike, 100, 200, 10, 0
0002, Adidas, 150, 300, 10, 0
0003, Gucci, 500, 1000, 10, 0
0004, Louis Vuitton, 800, 1600, 10, 0
0005, Versace, 400, 800, 10, 0
0006, Calvin Klein, 200, 400, 10, 0
0007, Dolce & Gabbana, 600, 1200, 10, 0
0008, Ralph Lauren, 250, 500, 10, 0
0009, Chanel, 700, 1400, 10, 0
0010, Armani, 450, 900, 10, 0
0011, Puma, 120, 240, 10, 0
0012, Tommy Hilfiger, 280, 560, 10, 0
0013, Burberry, 600, 1200, 10, 0
0014, Fendi, 900, 1800, 10, 0
0015, Balenciaga, 1200, 2400, 10, 0
0016, Givenchy, 750, 1500, 10, 0
0017, Prada, 1000, 2000, 10, 0
0018, Alexander McQueen, 800, 1600, 10, 0
0019, Valentino, 650, 1300, 10, 0
0020, Yves Saint Laurent, 850, 1700, 10, 0
